region	iso_3166_2	n	q1_east_asian	q2_amr_like	q3_south_asian	q4_european_west_eurasian	q5_african
Tashkent	UZ-TK	444	0.269729	0.034548	0.194143	0.497277	0.004303
Tashkent Region	UZ-TO	155	0.322113	0.038305	0.194528	0.441702	0.003352
Jizzakh Region	UZ-JI	83	0.356851	0.044362	0.189153	0.406396	0.003238
Kashkadarya Region	UZ-QA	56	0.280475	0.035694	0.232217	0.444904	0.006711
Samarkand Region	UZ-SA	48	0.272168	0.038767	0.229293	0.455747	0.004025
Khorezm Region	UZ-XO	41	0.231949	0.030557	0.225710	0.505833	0.005951
Bukhara Region	UZ-BU	30	0.194364	0.028662	0.280751	0.486299	0.009925
Syrdarya Region	UZ-SI	30	0.306220	0.038825	0.193552	0.457175	0.004228
Fergana Region	UZ-FA	27	0.293460	0.038745	0.208881	0.454560	0.004354
Surxondaryo Region	UZ-SU	20	0.317455	0.039218	0.221073	0.415760	0.006493
Republic of Karakalpakstan	UZ-QR	19	0.351062	0.048123	0.155527	0.440649	0.004639
Namangan Region	UZ-NG	17	0.278514	0.031413	0.204305	0.482221	0.003548
Navoiy Region	UZ-NW	13	0.333427	0.031243	0.212331	0.418538	0.004461
Andijan Region	UZ-AN	9	0.287957	0.039228	0.201562	0.463447	0.007806
