group	n	mean_relateadmix_kin	median_relateadmix_kin	max_relateadmix_kin	relateadmix_ge_00442	relateadmix_ge_00884	relateadmix_ge_0177	relateadmix_ge_0354	pcrelate_ge_00884
pihat_screen_all	6228	0.001870016	0.000373250	0.453771000	31	27	21	3	48
status:concordant_king_pihat	1734	0.004569161	0.000374000	0.453771000	30	26	20	3	43
status:discordant_pihat_only	4494	0.000828557	0.000373250	0.232894250	1	1	1	0	5
pair_type:ALSU+ALSU	4583	0.001592235	0.000374000	0.453771000	14	11	10	2	32
pair_type:ALSU+GWAS2026	1519	0.000527862	0.000370250	0.050255000	1	0	0	0	0
pair_type:GWAS2026+GWAS2026	126	0.028154179	0.000372125	0.390628500	16	16	11	1	16
q5_dist_bin:high_Qdist	394	0.000805865	0.000373500	0.005380750	0	0	0	0	0
q5_dist_bin:low_Qdist	394	0.003241279	0.000374250	0.453771000	4	4	3	1	4
q5_dist_bin:mid_Qdist	393	0.002161899	0.000374000	0.322466000	2	2	2	0	2
q5_dist_bin:unmatched	5047	0.001823313	0.000373250	0.401251750	25	21	16	2	42
